人 士
出口成章 文不加点
无能 低能
博学 饱学
浅学 浅薄
孤陋寡闻 少见多怪
无知 蒙昧
有为 成器
不成材 不成器
卓有远见 目光如炬
目光如豆 目光短浅
老练 干练
幼稚 天真
少不更事 羽毛未丰
熟练 纯熟
生疏 夹生
荒疏 荒
积极 主动
消极 被动
勤奋 勤勉
闲不住 戴月披星
用功 用心
懒惰 懒
拖拉 拖沓
有恒 恒久
无恒 有始无终
节约 节省
奢侈 浪费
认真 顶真
马虎 含糊
仔细 细
粗心 粗
毛手毛脚 没头没脑
谨慎 勤谨
口紧 嘴紧
慎重 郑重
知趣 识趣
轻率 鲁莽
荒唐 荒诞
稳重 稳健
踏实 塌实
轻浮 浮
耐心 耐性
苦心 煞费苦心
急躁 浮躁
文雅 风雅
粗暴 粗鲁
清高 孤高
虚荣 好胜
恭敬 虔敬
敬老 尊老敬老
客气 殷勤
简慢 怠慢
热情 热心
冷淡 冷漠
谦虚 谦逊
深藏若虚 大智若愚
自卑 卑
恭顺 低声下气
骄傲 骄矜
引以自豪 成就感
大度 大量
慷慨 慨然
够交情 够朋友
手松 大方
心窄 小心眼
吝啬 悭吝
严格 严厉
军令如山 执法如山
宽大 宽
革命 红色
反动 反革命
进步 先进
急进 激进
落后 后进
民主 群言堂
专制 独裁
讲理 通达
蛮横 强横
开通 开展
保守 守旧
公正 正义
严明 明镜高悬
偏心 偏
无私 大公无私
克己奉公 枵腹从公
舍己为人 舍己救人
先人后己 吃苦在前
自私 私
廉洁 清廉
贪心 贪
见钱眼开 财迷心窍
贪财 贪多
高尚 高贵
正派 正经
庸俗 粗俗
下流 下作
贞洁 贞烈
纯洁 高洁
轻佻 轻薄
淫荡 淫乱
色情 香艳
多情 痴情
薄情 喜新厌旧
无情 负心
太平 升平
和平 相安无事
安定 平安
动荡 波动
混乱 纷乱
繁荣 景气
萧条 冷淡
凋敝 凋零
天下兴亡 千古兴亡
热闹 繁华
熙熙攘攘 熙来攘往
喧哗 闹
拥挤 挤
安静 恬静
荒凉 荒僻
凄凉 苍凉
背 僻
冷落 冷清
孤单 孤
寂寞 落寞
繁忙 忙
匆忙 匆促
空闲 悠闲
赋闲 休闲
舒服 舒坦
艰苦 艰辛
安全 安好
治安 有警必接
危险 危
大敌当前 腹背受敌
幸福 福
喜庆 喜
悲惨 凄惨
满目疮痍 疮痍满目
离合悲欢 悲欢
和缓 缓和
紧张 吃紧
庄严 庄重
清洁 干净
肮脏 龌龊
蓬头垢面 囚首垢面
整齐 整
井然 井然不紊
杂乱 混乱
蓬松 枝蔓
一窝蜂 一锅粥
乱糟糟 乱腾腾
富裕 富有
小康 温饱
贫穷 贫
身无长物 别无长物
打 击
毒打 痛打
敲打 打击
捶打 捶
砸 捣
拷打 拷
抽打 鞭打
扑打 扑
磕打 摔打
打耳光 掌嘴
还击 还手
拍 拊
拍打 扑打
拍手 拍巴掌
抚摩 摩挲
搔 抓
摸 摸出
拉 拉扯
推 排
拖 拖曳
扛 荷
挑 担
抬 抬杠
背 驮
举 擎
托 把
高举 扬
振臂 攘臂
举杯 把酒
捧 掬
揿 按
掐 扼
压 挤压
压榨 榨
滚压 轧
撑 支
拿 持
把握 把
抓 绰
提 拎
出具 出示
提灯 提笔
撮 拈
揪 扭
夹 挟
搀 扶
挽 牵
抱 搂
合抱 合围
拔 擢
拔草 拔剑
摘 采
采药 采茶
剥 扒
撕 扯
抽 掣
折 撅
掰 劈
挖 剜
刳 掏空
剔 挑
钳 夹
填 堵
埋 掩埋
埋葬 葬
塞 掖
插 栽
嵌 镶
衬 垫
放 搁
竖立 立
下 投
摆开 摆正
叠 折
挂 吊
铺 摊
盖 遮盖
掀 揭
捋 攘
仍 掷
接 承
拾 拾取
松手 放手
包 裹
装 盛
盒装 罐装
卷 挽
捆 扎
五花大绑 红绳系足
栓 拴
扣 系
打结 系
绞 拧
绕 络
穿 穿着
披挂 身披
披 套
戴 冠
佩带 佩
脱 褪
脱帽 免冠
解 松
拆 拆除
涂 涂饰
糊 刮
贴 粘
裱 裱褙
张贴 剪贴
贴饼子 贴花
洗 浣
洗澡 沐浴
搓澡 搓洗
刷洗 洗刷
冲洗 冲
荡 涮
浆洗 浆
水洗 干洗
淋浴 盆浴
刷牙 洗头
扫 扫除
清扫 大扫除
擦 拭
磨 钢
揉 揉搓
捻 搓
捞 打捞
渔捞 捞稻草
舀 打
灌 注
汲 吸
浇 淋
洒 泼
飞洒 浇洒
沏 冲
斟 倒
斟茶 斟酒
筛 罗
簸 扬
沙里淘金 淘金
滤 淋
搅拌 拌和
搀和 搀杂
勾芡 和面
掭 膏
切 铡
切片 片
削 修
割 拉
剖 破
剪 推
修剪 修
刻 雕刻
砍 斩
乱砍滥伐 滥伐
伐树 伐木
刮 刮削
戳 捅
刺 搠
戳穿 剌
刺丝 刺针
碰 触
翻 倾
倾倒 放
扇 鼓
撒 播
开 打开
开门 开闸
关 关闭
上锁 锁
关机 关灯
搬动 挪动
摇动 摇撼
扇动 振
抖动 抖搂
挥动 挥舞
招手 招
拨动 扒拉
扒 扒拉
拨打 拨号
扳动 扳
摆弄 弄
玩弄 戏弄
揉 团
弹起 反弹
比画 比
指点 指画
袖手 揣手儿
握手 拉手
走 行
拔腿 拔脚
止步 却步
步行 徒步
阔步 纵步
小步 碎步
快步 疾步
慢走 踱
散步 溜达
漫步 信步
闲逛 游逛
蹒跚 踉跄
扭 折腰
徘徊 盘旋
蹑 溜
登高 登
蹑手蹑脚 轻手轻脚
大摇大摆 高视阔步
踏遍 走遍
跑 驱
狂奔 飞奔
驰骋 驰驱
飞驰 奔驰
长跑 慢跑
跳 跳跃
连跑带跳 跑跑跳跳
跃然 跳高
踢 踹
踩 踏
跺脚 跳脚
踮 跷
抬脚 起脚
坐 坐坐
端坐 正襟危坐
席地而坐 后坐
盘腿 趺坐
打坐 入定
入座 落座
静坐 枯坐
蹲 踞
立 站
伫立 伫
直立 兀立
站稳 站住
起立 站起
独立 肃立
靠边儿站 比肩而立
一哄而起 鹊起
骑 跨
跨 迈
迈入 迈向
越 翻
偷越 越级
抬头 昂首
低头 垂头
回头 回首
点头 颔首
睁眼 张目
瞪眼 瞪
闭眼 合眼
眯眼 眯缝
眨眼 眨巴
飞眼 使眼色
皱眉 皱眉头
撅嘴 努嘴
接吻 亲吻
看 瞧
注视 凝视
端详 端量
展望 瞻望
了望 眺望
环视 扫视
鸟瞰 俯瞰
仰望 仰视
张望 顾盼
回眸 回顾
极目 纵目
正视 目不斜视
斜视 乜斜
怒视 瞪
对视 目视
窥探 窥见
瞥 扫
白眼 白
浏览 溜
看见 瞧见
目睹 目击
望风 把风
一窥全豹 一斑窥豹
看起来 看上去
看不到 看得见
依稀可见 清晰可见
听 收听
倾听 聆听
偷听 窃听
听见 闻
听说 耳闻
嗅 闻
闻到 嗅到
吃 食
摄食 吃光
内服 口服
啄 塞
肉食 大吃大喝
嚼 咀嚼
咽 哙
吮 吸吮
喝 饮
喝酒 饮酒
豪饮 狂饮
酗酒 纵酒
饮茶 喝茶
叼 含
舔 舐
咬 噬
叮 螫
呼 哈
送气 嘘气
吐 唾
喷 喷气
吸 抽
呼吸 透气
做声 发音
呻吟 哼
吧嗒 吧唧
呼唤 呼
吹口哨 打口哨
喊 呼
大叫 号叫
吆喝 咋呼
吼 咆哮
欢呼 喝彩
喝倒彩 嘘
哀鸣 哀号
叫 鸣
吼叫 吼
尖叫 乱叫
飞 飞翔
高举 飞腾
翻飞 翩翩
滑翔 俯冲
纷飞 满天飞
蠕动 蠕蠕
倾 倾斜
靠 倚
靠山吃山 有赖倚
偎 偎依
躺 卧
躺下 卧倒
仰卧 平卧
静卧 安卧
卧床 卧床不起
横卧 平躺
趴 卧
弯腰 哈腰
欠身 欠
伸腰 伸懒腰
蜷曲 蜷
前仰后合 前俯后仰
打滑 滑
跌倒 摔倒
跌交 摔交
仆 踣
失脚 失足
打前失 马失前蹄
发抖 颤抖
颤悠悠 颤颤巍巍
打滚 翻滚
倒立 拿大顶
翻跟头 滚翻
跟头 斤斗
翻身 辗转
爬 爬行
蜿蜒 蛇行
爬山 登山
攀 爬
窬 高攀
钻 钻进
冲 闯
奔突 狼奔豕突
挤 挤挤
行礼 敬礼
鞠躬 折腰
裣衽 拜拜
还礼 回礼
下跪 跪
磕头 叩头
膜拜 顶礼膜拜
高兴 开心
狂喜 销魂
开颜 喜形于色
欢腾 欢跃
欣幸 庆幸
悲喜交集 惊喜交集
天伦之乐 乔迁之喜
悲伤 伤悲
悲痛 哀痛
痛苦 痛
辛酸 酸辛
凄惨 凄楚
兔死狐悲 物伤其类
忧愁 发愁
忧虑 焦虑
忧闷 愁闷
过虑 杞人忧天
民忧 乡愁
烦闷 烦心
憋屈 委屈
愤怒 恼怒
惹气 怄气
动火 动肝火
震怒 盛怒
泄恨 泄愤
息怒 消气
得意 抖
惆怅 怅惘
失意 向隅
灰心 丧气
消沉 低沉
颓丧 颓废
失望 大失所望
扫兴 败兴
计划 筹划
筹措 运筹
策划 谋划
蓄谋 合谋
私图 妄图
计划 罢论
打算 算计
打算 休想
满意 惬意
满足 知足
舒畅 宽畅
轻松 自在
畅 敞
不满 遗憾
不平 鸣不平
心安 安心
自慰 聊以自慰
瞑目 九泉瞑目
不安 紧张
惭愧 羞愧
难为情 不好意思
抱歉 抱愧
心虚 虚
瞎抓 虚套
无愧 不愧
镇静 沉着
从容 不慌不忙
心静 平静
安稳 落实
慌张 发慌
着急 焦急
急切 迫切
殷切 殷殷
决意 决心
犹豫 犹疑
三心二意 见异思迁
无奈 无可奈何
奈何 无奈何
无法 没辙
山穷水尽 日暮途穷
被迫 逼上梁山
抓瞎 抓耳挠腮
难堪 好看
警惕 警觉
麻痹 松懈
疏忽 大意
专心 悉心
分心 心不在焉
沉迷 着迷
陶醉 心醉
迷惑 迷惑
留恋 贪恋
习惯 惯
上瘾 成瘾
球瘾 官瘾
吃不服 吃不来
醒悟 觉悟
懂事 记事儿
惊奇 奇怪
害怕 惧怕
忧惧 吓坏
后怕 余悸
惊恐 惶恐
受惊 吃惊
畏缩 畏忌
怕生 认生
怯场 怯阵
敬畏 敬而远之
白色恐怖 阴森
激动 冲动
兴致勃勃 津津有味
感动 感
触动 动心
感激 纫
感恩 感恩戴德
想象 设想
空想 玄想
遐想 畅想
思考 思量
浮想联翩 心血来潮
幽思 深思
冥想 凝思
尽心竭力 煞费苦心
苦心 刻意
设法 想法
随想 随感
悟出 想开
斟酌 酌
着想 设想
存心 居心
感到 感觉
发觉 发现
认为 以为
误认为 错觉
主张 主持
坚持 执
推测 揣测
臆断 臆测
因小见大 尝鼎一脔
估计 估量
高估 低估
猜想 猜测
预料 逆料
料到 料及
预测 预计
没成想 谁料
希望 企望
渴望 热望
向往 神往
祈求 企求
要求 渴求
求得 邀
求全 苛求
追求 探求
谋求 谋
求知 求爱
回忆 追忆
忆苦 忆述
怀念 思念
深思 渴念
思乡 乡思
念旧 怀旧
悼念 追悼
挂念 悬念
记得 记
记住 记取
介意 在心
忘记 忘掉
了解 理解
有底 有数
看透 看穿
觉察 察觉
知悉 悉
明知 明理
探悉 获悉
熟悉 熟稔
贯通 精通
顿开茅塞 茅塞顿开
路人皆知 人所共知
懂法 知法
认识 认得
相识 相知
体会 体味
领会 理会
不解 不详
一知半解 似懂非懂
误会 误解
喜欢 喜爱
百看不厌 百听不厌
爱 喜爱
恋 爱恋
溺爱 偏爱
倾心 动情
相好 相爱
敬业爱岗 敬业
爱民如子 爱国
博爱 自爱
讨厌 厌恶
嫌弃 厌弃
厌倦 倦
厌世 厌战
爱憎 好恶
恨 怨
仇视 仇恨
怀恨 记恨
愤恨 痛恨
责怪 怪罪
埋怨 抱怨
自咎 引咎
抱屈 抱委屈
尊敬 崇敬
敬仰 景仰
崇尚 崇
相敬如宾 举案齐眉
令人钦佩 可敬
尊师 尊老爱幼
佩服 敬佩
个人崇拜 钦羡
信服 服气
认输 服输
不服 要强
羡慕 慕
妒忌 忌妒
相信 凭信
确信 坚信
轻信 听信
当真 认真
自信 满怀信心
信仰 信奉
怀疑 狐疑
将信将疑 半信半疑
信任 相信
可信 互信
赞成 赞同
同意 认可
拥护 拥
拥军 拥军优属
反对 不敢苟同
反战 反毒
忍耐 忍
耐寒 耐火
克制 抑制
约束 收束
禁不住 撑不住
可惜 惋惜
舍得 不惜
爱惜 珍惜
吝惜 吝
怜悯 可怜
忍心 忍
体谅 谅解
推己及人 将心比心
原谅 见谅
宽恕 宽饶
关怀 关心
管闲事 多管闲事
担心 操心
放心 想得开
注意 留意
小心 不慎
权衡 衡量
计较 斤斤计较
重视 珍视
保重 珍重
厚今薄古 尊师重教
并重 并列
漠视 无视
鄙视 蔑视
种族歧视 歧视
置之不理 恝置
不置可否 听其自然
闲置 弃置
丢手 甩手
观望 旁观
顾及 照顾
顾不上 顾不得
顾此失彼 不顾
理睬 理会
后悔 懊悔
悔改 改悔
后悔莫及 悔之晚矣
翻悔 反悔
反省 内省
无悔 无悔无怨
愿意 情愿
自愿 志愿
无意 无心
敢 敢于
能够 能
善于 长于
不能 不许
决不会 不会
可以 得以
不可 不得
能否 可不可以
应该 应当
必须 务须
无须 毋庸
何须 何必
值得 犯得着
不值 不足
革命 变革
起义 首义
暴动 起事
锄奸 除暴安良
推翻 打倒
大革命 民主革命
红巾起义 武昌起义
五四运动 五卅运动
解放 翻身
斗争 争斗
斗法 钩心斗角
内乱 内讧
百花争艳 争奇斗艳
生存斗争 阶级斗争
争名谋位 争权
抗议 反抗
请愿 游行
罢工 罢市
反帝 反法西斯
上台 登台
即位 登基
继位 承袭
称帝 称孤道寡
当家做主 当家
统治 秉国
称霸 独霸
称雄 割据
亲政 摄政
下台 下野
退位 让位
改革 改造
变法 维新
房改 民主改革
百日维新 明治维新
救国 救亡
闭关自守 闭关锁国
镇压 弹压
镇反 肃反
讨伐 征伐
平叛 平定
篡夺 攘夺
篡位 问鼎
颠覆 倾覆
复辟 变天
叛变 反叛
叛卖 出卖
通敌 私通
投敌 卖身投靠
招兵 征兵
抽丁 抽壮丁
装备 配备
配给 配有
备战 秣马厉兵
誓师 动员
检阅 阅兵
作战 打仗
接火 接触
开战 开仗
挑战 求战
应战 应敌
奋战 血战
激战 酣战
决战 决一死战
会战 大会战
转战 南征北战
起兵 动兵
同室操戈 火并
混战 群雄逐鹿
游击 打游击
好战 穷兵黩武
登岸 上岸
参战 助战
空降 登陆
夜战 化学战
抗美援朝 楚汉相争
马战 麻雀战
防御战 狙击战
保级战 新秀战
宣传战 贸易战
急行军 强行军
督战 督军
进攻 攻击
围攻 围击
夹攻 夹击
冲击 冲锋
追击 穷追猛打
主攻 助攻
攻坚 强占
攻防 攻关
抵抗 抵御
招架不住 不可抗力
抗病 抗洪
御寒 御侮
抗雪 减灾
回击 还击
保卫 捍卫
防守 防御
布防 设防
调防 换防
戍边 边防
退守 死守
移防 接防
保本 保住
正当防卫 自卫
捍疆卫国 保家卫国
卫国 国防
守门 铁将军把门
警卫 警备
驻扎 屯扎
扎营 宿营
站岗 放哨
巡逻 巡查
射击 发射
开枪 打枪
开炮 放炮
还击 回击
扫射 打冷枪
上膛 瞄准
空袭 轰炸
爆破 炸
刺杀 拼刺刀
扫雷 排雷
埋伏 打埋伏
袭击 侵袭
闪击 突击
邀击 拦击
抄袭 兜抄
偷营 偷袭
引敌他顾 调虎离山
奔袭 夜袭
侧击 痛击
打援 阻援
接应 策应
掩护 打掩护
牵制 牵
侦察 侦探
包围 围困
突围 杀出重围
侵略 侵犯
并吞 吞并
骚扰 扰乱
攻占 抢占
占据 占
收复 克复
击败 打败
击退 退
歼灭 剿灭
围歼 聚歼
剿共 剿匪
摧毁 击毁
撤兵 收兵
俘虏 生擒
缴获 收获
投降 归降
请降 乞降
佯降 诈降
割地 割让
归顺 归附
招安 招抚
大败 溃
治理 经纬
治世 治国
分治 礼治
打非 扫黄打非
治校 治厂
办理 办
经办 承办
包办 一手包办
代办 代理
筹办 筹划
酌办 补办
处理 料理
清理 踢蹬
善处 协理
调质处理 定性处理
清仓 清欠
密封 封
封泥 封山
管理 经营
保管 管理
综合治理 综治
接管 共管
城管 夏管
一刀切 慢慢来
经营 经纪
国营 国立
私营 私立
苦心经营 惨淡经营
营业 运营
主营 专营
自主经营 自营
台办 户办
公私合营 联营
开业 开歇业
安置 安顿
部署 布局
配餐 配电
配套 配系
调动 调
调剂 调节
调拨 划拨
调遣 调派
调职 对调
调转 调集
调流 调资
抽调 征调
整顿 整饬
整党 整风
整编 改编
改组 裁并
派遣 指派
分派 分发
支使 支派
指名 点名
建立 成立
立国 开国
建都 奠都
立宪 立法
立户 立业
架起 搭设
合办 协办
建军 建党
建功 精武建功
复建 重构
拟建 整建
建成 建交
新建 兴建
戴罪立功 立功
设立 设置
开辟 辟
添设 埋设
立项 立新
广开才路 广开言路
办学 办厂
创立 开创
初创 草创
首创 创始
独创 自我作古
创出 创下
创牌子 创编
命名 定名
撤销 取消
废止 废除
免除 罢免
解散 遣散
一风吹 一笔勾销
免役 免职
收 接收
点收 签收
限收 减收
接线 接报
发 颁发
发放 发给
散发 分发
颁证 发证
上行 下行
印发 照发
高发 增发
请假 告假
主持 主管
主抓 主理
指挥 挥
统率 统领
执掌 掌握
管辖 统辖
带兵 督导
控制 统制
火控 电控
稳住 按住
控股 占优
把持 垄断
召集 招集
宣布 发布
发榜 出榜
下令 命令
责令 责成
勒令 强令
令行禁止 言出法随
宣传 宣扬
发动 鼓动
提倡 倡议
倡廉 倡言
号召 召唤
唤回 召回
响应 应
呼叫 呼唤
寻呼 传呼
讨论 议论
务实 务虚
议政 共商国是
复议 合议
决定 定规
定局 拍板
规定 确定
肯定 确认
否定 否决
内定 预定
定时 定计
定为 定于
制订 制定
拟订 拟定
登记 注册
签到 报到
报失 挂失
立案 备案
申请 报名
报考 投考
交差 交卷
虚报 浮报
回报 回话
上书 奏
报关 报警
报账 填报
签字 签名
画押 签押
草签 续签
盖章 打印
批阅 圈阅
批示 批复
签注 签证
批准 照准
禁止 取缔
禁而不止 屡禁不止
党禁 党锢
禁吸 禁酒
解禁 弛禁
调查 考察
侦查 侦探
察明 查清
普查 追查
查勤 查房
送审 送检
实地调查 问卷调查
审查 审察
审定 核准
过目 寓目
自审 自查
初查 收审
评审 政审
审计 审批
审价 审稿
检查 稽查
盘查 盘问
联检 联查
清查 抽查
边检 船检
验尸 验票
抽验 化验
复检 商检
验光 验货
验明 验明正身
缉私 查缉
监督 督察
监视 监
监考 监场
督促 钉
查点 清点
点名 点卯
评议 评判
评分 评阅
创评 初评
考核 考绩
奖励 嘉奖
发奖 授奖
金质奖 头彩
服务奖 学术奖
奖勤罚懒 奖优罚劣
表功 授勋
奖惩 奖罚
表扬 褒扬
处罚 处分
开除 革除
警告 记过
违者必究 违法不究
检讨 检查
选举 推选
大选 普选
投票 开票
选拔 甄拔
提拔 提升
聘请 聘任
敦聘 礼聘
招聘 征聘
征募 招募
招工 招考
任命 任
委任 委派
封爵 封
册立 册封
任用 起用
任人唯亲 任人唯贤
荫袭 荫
撤职 革职
罢官 罢黜
贬谪 贬斥
雇用 雇佣
解雇 解聘
下任 卸任
就职 到职
接替 接手
交卸 移交
办公 办公室
办事 做事
出差 出勤
值班 当班
守夜 值夜
巡夜 查夜
出巡 巡幸
清道 喝道
建筑 建造
动土 动工
营造 营建
打夯 夯
改建 改造
翻修 翻盖
基本建设 基建
修造船 筑坝
修路 养路
造陆运动 造山运动
架设 架
铺设 敷设
养护 护养
放置 码放
安装 装置
装配 配
组建 组装
配器 配重
粉刷 抹灰
装饰 装点
制造 制作
酿造 酿
仿造 仿制
再生 还魂
造假 掺假
自制 监制
切花 脱坯
制衣 制片
酿成 做成
造物 造纸
发电 火力发电
修理 整修
维修 检修
保修包换 包修
汽修 机修
切削 铣
切割 割
焊接 焊
电焊 电弧焊接
气焊 点焊
铆接 铆
冶炼 冶金
电冶 粉末冶金
炼钢 炼铁
锻造 打铁
铸造 浇筑
轧钢 轧
热轧 冷轧
冲压 冲
拉延 拉制
压延 拔丝
镀 鋈
电镀 镀金
熔化 熔
淬火 蘸火
锢露 锢
提纯 提炼
醇化 蒸馏
裂化 裂解
镶金 错金
包金 烫金
纺 织
粗纺 细纺
棉纺 麻纺
棉纺织 丝织
纺纱 纺丝
漂白 漂
染色 染
印染 印花
蜡染 洗染
编织 编制
缫丝 抽丝
排字 排版
付排 发排
拼版 套版
印刷 印
铅印 油印
翻印 重印
活字印刷 轻印刷
装订 订
精装 平装
出版 问世
发行 刊行
再版 重版
勘察 勘查
勘探 钻探
地勘 勘界
测量 测
草测 遥测
开矿 采矿
乱采 轮采
采油 采砂
疏浚 疏通
治水 治理
防洪 防汛
防凌 抢险
灌溉 浇灌
春灌 冬灌
开山 劈山
垦荒 垦殖
屯垦 屯田
开拓 开辟
军垦 围垦
种地 种田
耕作 耕耘
平地 整地
破土 垦
耕 犁
耦耕 秋耕
深耕细作 精耕细作
刀耕火种 火种刀耕
翻茬 深耕
耙 耪
秋种 春种
间作 间种
套作 套种
连作 重茬
轮作 轮种
粒选 穗选
春化 催青
播种 下种
点播 点种
撒播 直播
耧播 耩
种植 栽种
栽培 培植
移栽 定植
密植 复种
播种 引种
种草 种果
根植 植根
扦插 插条
培土 耔
耕翻 耘
间苗 补苗
嫁接 枝接
整枝 打杈
施肥 粪
条施 沟施
锄草 除草
收割 收
夏收 秋收
打场 脱粒
登场 扬场
打猎 狩猎
捕鱼 打鱼
钓鱼 垂钓
撒网 网
畜牧 牧畜
放牧 牧
轮牧 游牧
牧羊 牧群
饲养 畜养
肥育 育肥
养殖 繁育
养蟹 养牛
放牛 放羊
圈养 囿养
配种 配
接种 育种
阉割 去势
屠宰 宰杀
出产 生产
亩产 年产
出活 出笼
精加工 粗加工
贸易 交易
通商 流通
农工贸 技工贸
输出 出口
输入 进口
投资 入股
集资 合股
投劳 投融资
融资 筹融资
招股 募股
招揽 招徕
招商 招标
标价 明码
讲价 议价
要价 讨价
抬价 哄抬物价
压价 杀价
进不起 买不起
成交 拍板
买 购
收购 收买
订购 定购
邮购 函购
抓药 打药
征购 统购
添置 赎买
收油 买房
点菜 订餐
续订 征订
卖 售
倒卖 倒腾
销售 销行
兜销 兜售
经售 经销
专卖 榷
抛售 抛
批发 发行
零售 零卖
寄卖 寄售
拍卖 甩卖
出倒 招盘
出让 转让
变卖 变
脱手 出脱
粜 出粜
炒买炒卖 炒卖
卖掉 卖出
义卖 转卖
内销 外销
摆地摊 练摊
售房 贩枪
有偿转让 有偿
包购包销 统购统销
走俏 紧俏
出租 租
转租 包租
租用 租借
包场 租房
营利 赚
渔利 牟利
分红 分配
翻本 捞本
兑换 换钱
兑现 兑付
贴现 贴息
放债 放款
拨改贷 转贷
借债 举债
挪借 挪用
摘借 摘
借支 透支
降息 减利
欠债 欠帐
欠 该
赊欠 赊
讨债 索债
还债 折帐
典当 典
抵押 押
抵账 抵债
赔偿 赔
赔款 赔帐
理赔 索赔
赎回 赎
赎当 赎身
将功赎罪 立功赎罪
征收 征
收费 收款
开征 缓征
征地 征管
夏征 课征
补税 补交
交纳 缴纳
交款 缴费
缴税 交税
清缴 查缴
缴存 缴送
支付 支出
付帐 会帐
垫付 垫
付清 付讫
两讫 收讫
催讨 追缴
划价 计费
偷税 偷逃税
拨款 拨付
记帐 入帐
盘帐 查帐
销帐 核销
报帐 报销
算帐 结帐
盘点 盘存
积累 累积
积储 积蓄
积久 日积月累
花费 花
耗费 消耗
白费 枉费
高耗能 高能耗
物耗 耗能
用材 用粮
浪费 旷费
挥霍 糟蹋
吃喝 吃吃喝喝
节省 节约
挤出 抽出
节水 节油
足够 十足
留足 备足
相抵 抵消
稳定平衡 动态平衡
剩余 下剩
结存 留存
亏欠 亏空
亏损 亏耗
亏本 亏蚀
缺少 短少
不足 欠缺
缺吃少穿 缺血
短斤少两 缺斤又短两
美中不足 比上不足
遗漏 脱漏
漏网 漏报
合计 共计
驾驶 驾
驾车 驱车
超车 刹车
驾御 赶
搭客 拉脚
搭乘 乘
打车 坐船
行驶 驶
疾驶 奔驶
航行 航
航空 宇航
上水 上行
下水 下行
巡航 巡弋
逆行 对开
护航 续航
驶进 驶入
划船 摇船
旅行 行旅
出行 出外
远行 出远门
跋涉 跋山涉水
舟车 车马
同路 同行
旅法 旅俄
出境 离境
出海 出港
赶路 趱行
抄道 抄近路
绕道 绕远儿
带路 引路
引航 引水
领航 导航
导流 导购
搬运 搬
运输 输
河运 漕运
驳运 驳
流放 放
押运 押送
水运 陆运
客运 货运
输气 输油
空载 机载
军交运输 客货运输
挂载 过载
载货 载体
装载 装
装车 装船
经过 经由
取道 转道
走过 流过
越过 穿过
过关斩将 穿云破雾
渡过 飞过
渡河 摆渡
偷渡 引渡
拐弯 转弯
急弯 急转弯
离开 撤离
滚蛋 滚开
背井离乡 离乡背井
调离 驶离
远去 驶去
返回 归来
返乡 还乡
荣归 衣锦还乡
回家 还家
折回 转回
复归 复返
返潮 返老还童
归队 归国
返程 返还
回流 回暖
留下 久留
留职 停薪留职
到达 抵达
抵京 到校
安抵 驶抵
直达 送达
到会 到货
停靠 停
停泊 下碇
靠岸 泊车
教育 教导
谆谆教导 循循善诱
安居而乐教 安居乐教
再教育 普法教育
身教 言教
传授 传
口授 面授
示范 示例
开导 诱导
发蒙 启蒙
指点 指
唤醒 唤起
引导 指引
引向 导向
化装 扮装
卸妆 卸装
修养 修身
摄影 留影
调焦 测距
曝光 暴光
冲洗 洗印
定影 对光
全息照相 录相
录音 灌音
放映 上映
广播 播送
联播 点播
有线广播 小广播
管教 教养
教训 训
警告 警戒
讲课 授课
宣讲 串讲
备课 开课
教学相长 教辅
教研 中小学教研
讲习 传习
训练 训
练习 操练
练嗓子 吊嗓子
演武 练功
集训 整训
锻炼 锤炼
练出 练就
强身健魄 强身健体
踢腿 压腿
晨练 苦练
兵操 早操
健体 健身
健身操 健美操
培养 培植
育人 教书育人
定向培育 代培
试验 实验
试工 试用
考试 考
大考 期考
应试 应考
春试 会试
初试 复试
考研 考学
发射 发出
放电 尖端放电
学习 念书
复习 温习
自学 自习
实习 见习
半工半读 勤工俭学
取长补短 用长避短
囫囵吞枣 生吞活剥
重读 复读
研习 预习
主修 辅修
认字 学艺
学到 学好
陪读 在读
学无止境 艺无止境
熟记 死记硬背
从师 投师
就读 师从
模仿 效仿
上行下效 上梁不正下梁歪
仿生 仿古
留学 留洋
逃学 旷课
阅读 阅
默读 默诵
读报 看报
精读 泛读
传阅 博览
导读 异读
查阅 查看
朗读 宣读
吟咏 咏叹
唱酬 酬和
诗朗诵 吟诗
背诵 记诵
挥笔 挥毫
大写 小写
填 填写
代笔 捉刀
手书 亲笔
抄写 誊写
临摹 摹写
默写 默
涂抹 涂鸦
划 扛
提行 抬头
跳行 落款
刷写 刻写
题款 亲题
填表 填词
写字 写入
听写 拼写
记录 笔录
记 笔记
手记 手写
摘记 摘录
花笺记 采访记
下载 载入
记分 记账
回忆录 实录
小记 初记
附笔 附言
解释 解说
图解 举证
注释 诠注
注明 写明
注明 转注
引证 引用
用典 用事
参阅 参见
介绍 说明
标注 标明
标点 圈点
评点 批
分析 辨析
定量分析 定性分析
赏析 评析
推敲 琢磨
去粗取精 去伪存真
研究 钻研
探究 探索
追根 追溯
抠 抠字眼儿
研发 研制
科学研究 科研
考证 考据
分类 分门别类
归纳 归结
总结 小结
归根结蒂 归根究底
推理 推导
类推 类比
直接推理 间接推理
写作 著作
起草 草
布局 搭架子
执笔 动笔
完稿 杀青
编造 臆造
堆砌 雕砌
谱曲 作曲
作诗 赋诗
合著 合写
编成 作出
曲笔 生造
造句 遣词用句
做文章 作词
翻译 翻
音译 译音
意译 直译
口译 笔译
译笔 译作
编辑 编纂
