人 士
死难者 罹难者
难民 难胞
灾民 流民
逃亡者 逃犯
流浪汉 游民
败兵 乱兵
俘虏 俘
人质 质子
违反者 违者
不合格者 不符合条件者
输家 失败者
旅客 客人
过路人 过客
游人 游客
乘客 司乘人员
参观者 观赏者
亲戚 亲属
外戚 远房
血亲 宗亲
姻亲 亲家
近亲 内亲
旁系亲属 直系亲属
亲家公 亲家母
眷属 亲属
女眷 内眷
侨眷 侨属
烈属 军属
曾祖 曾祖父
曾祖母 老奶奶
祖父 太爷
祖母 奶奶
叔祖 叔公
叔祖母 叔婆
外祖父 外公
外祖母 外婆
父 父亲
令尊 老太爷
继父 后爹
养父 义父
先父 先人
母 母亲
令堂 老太太
家母 老母
庶母 姨娘
继母 后母
养母 义母
父母 双亲
保护者 保护人
父子 爷儿俩
父女 母女
伯父 伯
伯母 大妈
叔父 叔
叔母 婶
姑父 姑夫
姑母 姑
三姑六婆 姑嫂
姨父 姨夫
姨母 姨
舅父 舅
舅母 舅妈
公婆 姑舅
公公 公
婆婆 婆母
岳父 岳丈
岳母 丈母
夫 丈夫
老伴 老头子
郎 郎君
妻 妻子
内人 拙荆
嫂夫人 尊夫人
发妻 元配
填房 继配
妾 小
夫妻 夫妇
鸳鸯 鸾凤
配偶 偶
兄 兄长
长兄 大哥
家兄 胞兄
弟 弟弟
堂哥哥 堂兄
师哥 师兄
兄弟 弟兄
同胞 亲兄弟
表兄弟 老表
姐 阿姐
妹 阿妹
姐妹 姊妹
表姐妹 表姐
堂姐 堂妹
连襟 连袂
嫂子 嫂
弟妇 弟妹
姐夫 姊夫
妹夫 妹婿
妻舅 舅子
内兄 大舅子
内弟 小舅子
姑 姑娘
大姑 大姑子
小姑 小姑子
大姨 大姨子
子 儿子
养子 义子
继子 继嗣
小儿 犬子
令郎 少爷
大儿子 小儿子
女 女儿
令爱 千金
养女 义女
长女 次女
子女 儿女
心肝 宝贝
独子 独生子
双胞胎 孪生子
混血儿 混血种
私生子 野种
媳妇 媳
女婿 婿
佳婿 乘龙快婿
赘婿 招女婿
姑老爷 姑爷
侄 侄子
侄女 表侄女
甥 外甥
甥女 外甥女
孙 孙子
曾孙 重孙
曾孙女 重孙女
外孙 外孙子
玄孙 侄孙
鼻祖 始祖
创始人 开山
前人 先驱
引进者 推荐者
今人 时人
一代人 当代人
后人 后代
古人 原人
直立人 龙门汤人
祖宗 祖上
曾祖 高祖
长辈 长上
父辈 大伯
大妈 大娘
侪 同龄人
晚辈 晚
子孙 子嗣
受益者 受益人
朋友 友人
好友 挚友
旧交 旧友
新交 新知
难友 患难之交
益友 诤友
世交 世谊
诸亲好友 亲友
教友 校友
点头之交 一面之交
畏友 酒肉朋友
战友 盟友
送礼者 受礼者
恩人 恩公
仇人 敌人
死敌 死对头
外敌 外寇
残敌 穷寇
夙仇 夙敌
公敌 政敌
对手 对方
自己人 知心人
外人 局外人
邻居 邻人
一伙 一伙子
一路货 狐群狗党
参加者 入会者
同伴 同伙
伙计 搭档
同道 同调
合作者 合作方
游伴 舞伴
本方 甲方
把兄弟 拜把兄弟
同学 同窗
学长 学兄
老三届 应届
同事 同人
同僚 袍泽
主人 主
主妇 管家婆
寄主 宿主
客人 宾客
贵宾 上宾
男宾 男客
稀客 生客
国宾 外宾
宾主 主客
接受方 接受者
顾客 主顾
购买者 买客
消费群 购买群
观众 听众
闻者 听者
读者 读者群
就餐者 购房者
房客 回头客
散客 散户
租用者 使用者
成员 分子
人马 队伍
党徒 党羽
私党 死党
党员 团员
社员 盟员
余党 爪子
工作队员 会议员
集训队员 登山队员
申请者 申请人
上级 上司
下级 部下
平级 同级
助手 副手
参谋 顾问
靠山 后台
师傅 师父
师母 师娘
徒弟 徒
物主 主人
屋主 房东
货主 户主
收信人 接收者
寄卡人 寄信人
主持人 主席
主婚人 主考人
司仪 打理
与会者 到会者
演讲者 讲话者
专人 专差
特派员 全权代表
钦差大臣 钦差
代表 代办
代言人 发言人
人民代表 人大代表
见证人 见证
保证人 保人
中间人 中人
调解人 调人
仲裁人 鉴定者
证婚 证婚人
被告人 被上诉人
举报者 举报人
介绍人 引线人
媒人 媒介
男傧相 伴郎
伴娘 喜娘
中介 中介人
媒质 纽带
新郎 新人
新娘 新娘子
情人 情侣
男朋友 情郎
女朋友 女友
姘头 相好
情夫 姘夫
情妇 姘妇
王八 乌龟
英雄 豪杰
有志者 有志之士
武者 堂主
剑客 剑侠
李逵 武松
硬汉 硬骨头
烈士 先烈
勇士 武士
侠客 侠
懦夫 胆小鬼
懒汉 懒虫
好人 明人
志愿者 献血者
君子 高人
圣贤 圣
先贤 先哲
元老 长者
楚王 燕王
坏人 歹人
小人 小丑
土棍 地痞
恶霸 霸
豪强 豪门
豺狼 魔鬼
暴徒 强暴
奸邪 奸人
野心家 奸雄
独裁者 独夫
军阀 学阀
党棍 学棍
渔霸 水霸
老好人 好人
凶人 凶神
泼妇 悍妇
伪君子 假道学
滑头 油子
吝啬鬼 守财奴
市侩 势利眼
造假者 弄虚作假者
孝子 孝子贤孙
逆子 孽障
贞妇 烈女
荡妇 淫妇
骚货 妖精
浪子 败家子
色鬼 色情狂
老顽固 死顽固
学究 腐儒
急性子 直性子
炮筒子 大炮
慢郎中 慢性子
话匣子 碎嘴子
应声虫 尾巴
馋嘴 馋猫子
夜游神 夜猫子
怪人 怪物
知识分子 文化人
文弱书生 白面书生
学者 鸿儒
作家 大作家
诗人 词人
诗仙 诗圣
画家 画师
寒士 措大
书呆子 老夫子
文痞 文侩
雅人 文抄公
杜甫 李白
徐悲鸿 巴金
文盲 睁眼瞎子
大老粗 土包子
内行 行家
专家 专门家
识途老马 宿将
革命家 政治家
研究员 副研究员
发明人 发明者
设计家 设计师
制造家 制造者
高级工程师 工程师
经济师 药剂师
棋王 棋圣
收藏者 藏书家
神炮手 神枪手
骨干 基干
外行 门外汉
生手 新手
俊杰 豪杰
人杰 翘楚
人才 材
女将 巾帼英雄
能手 能人
多面手 通才
新秀 后起之秀
庸中佼佼 强者
高才生 七步之才
歌王 球王
地灵人杰 德才兼备
聪明人 智者
明眼人 有识之士
机灵鬼 猴儿
前茅 优胜者
笨伯 笨蛋
饭桶 草包
傻子 傻瓜
庸人 庸才
绣花枕头 纸老虎
半瓶醋 二百五
浑蛋 混蛋
活宝 宝贝
糊涂虫 糊涂蛋
模范 标兵
劳模 劳动模范
冠军 亚军
排头兵 三好生
先锋 急先锋
旗手 红旗手
功臣 元勋
爱好者 发烧友
棋迷 球迷
追星族 崇拜者
教徒 信徒
圣徒 新教徒
八大山人 忠清南道人
佛 菩萨
沙门 僧尼
僧徒 僧侣
尼姑 尼
禅师 活佛
住持 方丈
施主 檀越
道教徒 道徒
道士 法师
神人 真人
活佛 喇嘛
伊斯兰教徒 回教徒
天主教徒 天主
枢机主教 红衣主教
神甫 神父
教皇 大主教
耶稣教徒 基督徒
牧师 传教士
大力神 守护神
反动派 反革命
反派 反面人物
匪帮 匪徒
刽子手 屠夫
战争贩子 战争狂人
叛徒 内奸
卖国贼 国贼
奸贼 贼
儿皇帝 傀儡
叛兵 逃兵
罪犯 罪人
死囚 死刑犯
凶犯 凶手
主犯 要犯
从犯 同谋犯
逃犯 在逃犯
教唆犯 教唆者
窝主 窝家
嫌疑人 疑凶
战犯 政治犯
破坏者 污染者
肇事人 肇事者
不法之徒 犯罪分子
违纪者 违章者
强盗 盗
匪首 盗魁
草寇 绿林
殖民者 殖民主义者
绑匪 股匪
马贼 海盗
外寇 海寇
袭击者 劫机者
残匪 车匪路霸
窃贼 贼
惯贼 惯窃
盗码者 黑客
剽窃者 盗卖者
侠盗 家贼
入侵者 征服者
流氓 痞子
二流子 浪子
骗子 拐子
江湖骗子 人贩子
投机商 奸商
毒贩 毒枭
走狗 狗腿子
赌徒 赌棍
酒徒 大户
烟鬼 隐君子
妓女 妓
艺妓 摇钱树
暗娼 私娼
花瓶 交际花
男妓 相公
鸨母 鸨儿
龟奴 乌龟
嫖客 孤老
物 实物
物质 质
占有物 专有物
电介质 电解质
光密媒质 光疏媒质
社会存在物 自然存在物
有机物 无机物
生成物 生产物
出土文物 文物
残留物 遗弃物
硫化物 氯化物
金属 非金属
物体 体
整体 通体
晶体 晶
水晶体 晶状体
绝缘体 非导体
机体 有机体
等价物 同系物
附属物 附着物
样片 抽样
刚体 磁体
固体 液体
单晶体 多晶体
导体 半导体
玻璃体 弹性体
落体 射流
硝酸 王水
醋酸 乙酸
磷酸 盐酸
一元酸 二元酸
强酸 弱酸
烧碱 火碱
苛性碱 生物碱
碳酸钠 大苏打
硫酸铜 胆矾
明矾 白矾　
中性盐 正盐
磷酸钙 磷酸铵
硅 单晶硅
硫磺 硫
磷 赤磷
氧化铝 氧化铁
氯化铵 硝酸铵
双氧水 水碱
蛋白胨 蛋白质
烷烃 甲烷
烯 聚氯乙烯
苯 甲苯
甲醇 丙醇
醚 甲醚
酚 甲酚
醛 甲醛
丙酮 盐酸安非拉酮
酯 聚碳酸酯
合成树脂 环氧树脂
酶 胃蛋白酶
松香 松脂
溶菌素 自力霉素
甘油 硝化甘油
胺 金刚烷胺
血红蛋白 纤维蛋白
氢氧基 巯
有机磷 碘仿
正离子 阳离子
等离子 等离子体
变子 反质子
点电荷 电荷
原子 亚原子
价电子 电子对
乙种粒子 甲种粒子
生物 底栖生物
动物 众生
温血动物 常温动物
冷血动物 变温动物
节肢动物 甲壳动物
线形动物 圆形动物
植物 植被
阳性植物 喜光植物
作物 农作物
大秋作物 晚秋作物
越冬作物 过冬作物
青苗 青
微生物 菌物
动植物 飞潜动植
动物 植物
原生动物 腔肠动物
蕨类植物 草本植物
夏熟作物 大田作物
父本 母本
物品 品
必需品 用品
给养 补给
摆设 陈设
纪念品 纪念物
奖品 奖
杂物 杂品
古物 老古董
遗物 旧物
失物 遗
证物 信物
赝品 赝鼎
抵押品 当头
违禁品 禁制品
赃物 赃
易燃物品 易燃物
工艺品 艺术品
珍玩 文玩
诺贝尔奖 巨奖
工件 作件
部件 元件
备件 附件
大件 皮件
原件 复制件
软件 软硬件
货物 商品
百货 小百货
下脚货 残货
国货 国产货
进口货 来路货
冷货 冷冻货
私货 黑货
优质品 优等品
皮货 红货
大路货 上等货
产品 出品
粗制品 半制品
副品 次品
仿制品 复制品
试用品 试制品
出产 物产
水产 渔产
土产 土特产
在制品 精制品
畜产 特产
农产品 副产品
油品 竹制品
短线产品 长线产品
器具 器物
器皿 容器
酒器 酒具
喷头 莲蓬头
锚 铁锚
电烙铁 烙铁
电熨斗 熨斗
消火栓 消防栓
竹器 木器
冲积扇 挡泥板
太平龙头 水龙头
警报器 雷达
皮具 雪具
酸槽 牛槽
设备 装置
技术装备 卫生设备
物资 战略物资
材料 料
原料 原材料
香料 香
骨料 填料
整料 边角料
生活资料 消费资料
柴米油盐 油盐酱醋
家具 家电
礼品 礼物
贺礼 贺仪
薄礼 小意思
聘礼 彩礼
贡品 贡
祭礼 赙仪
寿礼 年礼
嫁妆 妆奁
祭品 贡品
宝物 宝贝
宝 珍玩
宝藏 矿藏
传家宝 家珍
钰 瑰
文物 活化石
废物 废料
废气 废水
钢渣 炉渣
蔗渣 油渣
核废料 废钢铁
矿物 矿产
白钨矿 赤铁矿
担子 挑子
包裹 包袱
旅行包 邮包
它 她
什么 甚
锭 砖
块 丁
铅块 板块
粉 粉末
沙 沙子
玉米粉 胡椒粉
雪粉 彩粉
锯末 矿渣
点 点子
粒 豆子
堆 垛
棉堆 河沙堆
把 把子
粒子束 波束
球 团
轮 饼
暖气团 云团
珊瑚丸 蜡丸
绒球 火球
大辂椎轮 导轮
片 片子
箔 膜
草屑 木屑
硅钢片 硅片
薄片 裂片
筒 管
浮筒 滚筒
散热管 水管
洞 窍
生物圈 水圈
棒 棍
焊条 焊丝
针 丝
灯丝 真丝
闷棍 铁棍
钩 钩子
鱼钩 渔钩
网 网络
蜘蛛网 蛛网
情报网 通讯网
球网 水网
波 浪
表面波 音波
油气流 车流
顶 颠
端 头
鸡冠 鸡冠子
炕头 床头
盆底 船底
城根 墙根
潮头 船头
脚尖 针尖
顶板 顶部
底 根
末尾 末梢
边 沿
桌边 绲边
角 棱角
鼓角 后掠角
面 面子
正 正面
外表 外边
外壳 壳
反面 背面
侧面 侧
南侧 南端
东侧 东端
北侧 北端
外围 外层
水面 海面
柜面 板面
右上方 右上角
